AverageTemperature,City,month,year
9.796,1,2,1910
17.559,1,3,1910
19.469,1,4,1910
24.152,1,5,1910
28.233,1,6,1910
30.241,1,7,1910
30.636,1,8,1910
27.178,1,9,1910
19.281,1,10,1910
14.87,1,11,1910
9.783,1,12,1910
12.985,1,1,1911
11.961,1,2,1911
17.825,1,3,1911
19.696,1,4,1911
23.071,1,5,1911
28.83,1,6,1911
28.65,1,7,1911
29.522,1,8,1911
27.885,1,9,1911
19.294,1,10,1911
11.307,1,11,1911
7.592,1,12,1911
8.205,1,1,1912
9.188,1,2,1912
13.24,1,3,1912
19.126,1,4,1912
25.008,1,5,1912
25.936,1,6,1912
28.912,1,7,1912
29.684,1,8,1912
25.638,1,9,1912
19.862,1,10,1912
12.543,1,11,1912
7.383,1,12,1912
8.596,1,1,1913
9.62,1,2,1913
13.919,1,3,1913
18.882,1,4,1913
24.308,1,5,1913
25.442,1,6,1913
28.365,1,7,1913
28.355,1,8,1913
23.457,1,9,1913
18.371,1,10,1913
15.757,1,11,1913
8.573,1,12,1913
11.442,1,1,1914
10.475,1,2,1914
13.759,1,3,1914
19.42,1,4,1914
23.576,1,5,1914
26.606,1,6,1914
28.925,1,7,1914
27.947,1,8,1914
25.45,1,9,1914
19.601,1,10,1914
13.624,1,11,1914
6.311,1,12,1914
7.309,1,1,1915
11.961,1,2,1915
10.128,1,3,1915
19.164,1,4,1915
23.887,1,5,1915
28.648,1,6,1915
29.219,1,7,1915
27.462,1,8,1915
25.548,1,9,1915
19.777,1,10,1915
14.834,1,11,1915
10.991,1,12,1915
12.15,1,1,1916
13.265,1,2,1916
19.013,1,3,1916
19.446,1,4,1916
25.131,1,5,1916
29.7,1,6,1916
27.921,1,7,1916
27.283,1,8,1916
24.52,1,9,1916
20.034,1,10,1916
12.927,1,11,1916
9.648,1,12,1916
10.032,1,1,1917
12.357,1,2,1917
15.507,1,3,1917
20.223,1,4,1917
22.696,1,5,1917
28.471,1,6,1917
29.904,1,7,1917
29.746,1,8,1917
25.124,1,9,1917
18.658,1,10,1917
15.168,1,11,1917
9.072,1,12,1917
6.691,1,1,1918
12.456,1,2,1918
18.117,1,3,1918
20.35,1,4,1918
24.234,1,5,1918
28.011,1,6,1918
29.637,1,7,1918
28.829,1,8,1918
23.732,1,9,1918
19.907,1,10,1918
12.261,1,11,1918
8.63,1,12,1918
6.864,1,1,1919
10.115,1,2,1919
14.666,1,3,1919
19.406,1,4,1919
23.203,1,5,1919
25.145,1,6,1919
26.838,1,7,1919
27.938,1,8,1919
24.211,1,9,1919
21.004,1,10,1919
14.001,1,11,1919
8.86,1,12,1919
7.581,1,1,1920
12.558,1,2,1920
14.736,1,3,1920
19.253,1,4,1920
24.577,1,5,1920
26.078,1,6,1920
28.613,1,7,1920
26.77,1,8,1920
26.069,1,9,1920
19.746,1,10,1920
12.7,1,11,1920
9.282,1,12,1920
11.371,1,1,1921
11.902,1,2,1921
18.135,1,3,1921
18.79,1,4,1921
23.505,1,5,1921
26.809,1,6,1921
28.695,1,7,1921
29.15,1,8,1921
27.524,1,9,1921
20.482,1,10,1921
15.896,1,11,1921
12.655,1,12,1921
7.938,1,1,1922
12.875,1,2,1922
15.117,1,3,1922
20.676,1,4,1922
24.684,1,5,1922
25.84,1,6,1922
28.347,1,7,1922
29.166,1,8,1922
25.35,1,9,1922
19.182,1,10,1922
14.121,1,11,1922
12.172,1,12,1922
